id,name,img,role,url
1,"Colin Firth","http://4.images.comedycentral.com/images/shows/tds/videos/season_16/16006/ds_16006_04_16x9.jpg","Actor","http://thedailyshow.cc.com/guests/colin-firth"
2,"David Axelrod","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20062/ds_20062_02.jpg","Author","http://thedailyshow.cc.com/guests/david-axelrod"
3,"Patricia Arquette","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20061/ds_20061_03.jpg","Actor","http://thedailyshow.cc.com/guests/patricia-arquette"
4,"Bob Odenkirk","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20060/ds_20060_03.jpg","Comedian, Actor","http://thedailyshow.cc.com/guests/odenkirk"
5,"Wes Moore","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20059/ds_20059_03.jpg","Author","http://thedailyshow.cc.com/guests/wes-moore"
6,"Bill Browder","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20058/ds_20058_03.jpg","Author","http://thedailyshow.cc.com/guests/bill-browder"
7,"Martin Short","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20057/ds_20057_03.jpg","Comedian, Author","http://thedailyshow.cc.com/guests/martin-short"
8,"Sarah Chayes","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20056/ds_20056_03.jpg","Author","http://thedailyshow.cc.com/guests/chayes-sarah"
9,"Oscar Isaac","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20055/ds_20055_03.jpg","Actor","http://thedailyshow.cc.com/guests/oscar-isaac"
10,"Jill Leovy","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20054/ds_20054_03.jpg","Author","http://thedailyshow.cc.com/guests/leovy-jill"
11,"Julian Castro","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20053/ds_20053_04.jpg","Secretary of Housing and Urban Development","http://thedailyshow.cc.com/guests/julian-castro"
12,"Jennifer Aniston","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20052/ds_20052_03.jpg","Actor","http://thedailyshow.cc.com/guests/jennifer-aniston"
13,"Anne Hathaway","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20051/ds_20051_04.jpg","Actor","http://thedailyshow.cc.com/guests/anne-hathaway"
14,"Jennifer Lopez","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20050/ds_20050_03.jpg","Actor & Singer","http://thedailyshow.cc.com/guests/jennifer-lopez"
15,"Mike Huckabee","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20049/ds_20049_03.jpg","Author & Former Governor of Arkansas","http://thedailyshow.cc.com/guests/mike-huckabee"
16,"Sienna Miller","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20048/ds_20048_03.jpg","Actor","http://thedailyshow.cc.com/guests/d30e80ec-afc8-474a-acd7-1de9d3ef639e"
17,"Julianne Moore","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20047/ds_20047_03.jpg","Actor","http://thedailyshow.cc.com/guests/julianne-moore"
18,"Marco Rubio","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20046/ds_20046_02.jpg","Senator (R-FL)","http://thedailyshow.cc.com/guests/marco-rubio"
19,"Jimmy Carter","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20045/ds_20045_03.jpg","Former U.S. President","http://thedailyshow.cc.com/guests/jimmy-carter"
20,"Allison Williams","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20044/ds_20044_03.jpg","Actor, "Girls"","http://thedailyshow.cc.com/guests/e5948ee3-8ae9-4100-9c79-652446a2ad78"
21,"Ava DuVernay","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20043/ds_20043_04.jpg","Director, "Selma"","http://thedailyshow.cc.com/guests/efde7f41-7770-44f5-8c34-c943be3beb65"
22,"Cass Sunstein","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20042/ds_20042_03.jpg","Author, "Wiser"","http://thedailyshow.cc.com/guests/4da60152-9bd7-45f7-ba05-d53f676be5ce"
23,"Steven Brill","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20041/ds_20041_03.jpg","Author, "America's Bitter Pill"","http://thedailyshow.cc.com/guests/steven-brill"
24,"Chris Rock","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20040/ds_20040_04.jpg","Comedian, Actor, Director","http://thedailyshow.cc.com/guests/chris-rock"
25,"Anna Kendrick","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20039/ds_20039_03.jpg","Actor","http://thedailyshow.cc.com/guests/anna-kendrick"
26,"Paul McCartney","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20038/ds_20038_03.jpg","Musician","http://thedailyshow.cc.com/guests/paul-mccartney"
27,"Tim Burton","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20037/ds_20037_03.jpg","Director","http://thedailyshow.cc.com/guests/tim-burton"
28,"Mick Foley","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20036/ds_20036_04.jpg","Wrestler","http://thedailyshow.cc.com/guests/mick-foley"
29,"Suki Kim","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20035/ds_20035_03.jpg","Author","http://thedailyshow.cc.com/guests/suki-kim"
30,"Kathryn Bigelow & Juan Zarate","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20034/ds_20034_03.jpg","Director, Terrorism Expert","http://thedailyshow.cc.com/guests/bigelow-zarate"
31,"Norman Lear","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20033/ds_20033_04.jpg","Television Writer, Producer & Author","http://thedailyshow.cc.com/guests/norman-lear"
32,"Angelina Jolie","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20032/ds_20032_03.jpg","Actor, Director, Philanthropist","http://thedailyshow.cc.com/guests/angelina-jolie"
33,"Sophie Delaunay","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20030/ds_20030_04.jpg","Executive Director of Doctors Without Borders","http://thedailyshow.cc.com/guests/sophie-delaunay"
34,"Dave Grohl","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20031/ds_20031_04.jpg","Musician, Director","http://thedailyshow.cc.com/guests/dave-grohl"
35,"Andrew Napolitano","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20029/ds_20029_03.jpg","Fox News Senior Judicial Analyst, Author","http://thedailyshow.cc.com/guests/andrew-napolitano"
36,"Eddie Redmayne","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20028/ds_20028_03.jpg","Actor","http://thedailyshow.cc.com/guests/eddie-redmayne"
37,"Jessica Chastain","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20027/ds_20027_04.jpg","Actor","http://thedailyshow.cc.com/guests/jessica-chastain"
38,"Benedict Cumberbatch","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20026/ds_20026_03.jpg","Actor","http://thedailyshow.cc.com/guests/benedict-cumberbatch"
39,"Laura Poitras","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20025/ds_20025_03.jpg","Documentarian","http://thedailyshow.cc.com/guests/laura-poitras"
40,"Maziar Bahari & Gael Garcia Bernal","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20024/ds_20024_act3.jpg","Author & Actor, "Rosewater"","http://thedailyshow.cc.com/guests/bahari-bernal"
41,"Steve Carell","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20023/ds_20023_03.jpg","Actor","http://thedailyshow.cc.com/guests/thursday-steve-carell"
42,"Samantha Power","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20022/ds_20022_03.jpg","U.S. Ambassador to the United Nations","http://thedailyshow.cc.com/guests/samantha-power"
43,"Bruce Springsteen & Frank Caruso","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20021/ds_20021_03.jpg","Singer; Illustrator","http://thedailyshow.cc.com/guests/springsteen-caruso"
44,"James Risen","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20020/ds_20020_03.jpg","Author","http://thedailyshow.cc.com/guests/james-risen"
45,"John Cleese","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20019/ds_20019_04.jpg","Actor, Author","http://thedailyshow.cc.com/guests/john-cleese"
46,"Reince Priebus","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20018/ds_20018_04.jpg","Chairman of the Republican National Committee","http://thedailyshow.cc.com/guests/reince-priebus"
47,"Jake Gyllenhaal","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20017/ds_20017_03.jpg","Actor","http://thedailyshow.cc.com/guests/jake-gyllenhaal"
48,"Spoon","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20016/ds_20016_04.jpg","Band","http://thedailyshow.cc.com/guests/spoon"
49,"Ellar Coltrane","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20015/ds_20015_04.jpg","Actor","http://thedailyshow.cc.com/guests/ellar-coltrane"
50,"Joaquin Castro","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20014/ds_20014_03.jpg","Representative (D-TX)","http://thedailyshow.cc.com/guests/joaquin-castro"
51,"Wendy Davis","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20013/ds_20013_04.jpg","Texas State Senator","http://thedailyshow.cc.com/guests/wendy-davis"
52,"Bryan Stevenson","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20012/ds_20012_03.jpg","Author, Activist","http://thedailyshow.cc.com/guests/bryan-stevenson"
53,"Bill O'Reilly","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20011/ds_20011_03.jpg","Fox News Host","http://thedailyshow.cc.com/guests/bill-oreilly"
54,"Zach Galifianakis","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20010/ds_20010_03.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/tds-guest-zach-galifianakis"
55,"Matt Bai","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20009/ds_20009_03.jpg","Author","http://thedailyshow.cc.com/guests/matt-bai"
56,"Jeremy Renner","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20008/ds_20008_03.jpg","Actor","http://thedailyshow.cc.com/guests/jeremy-renner"
57,"Leon Panetta","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20007/ds_20007_03.jpg","Former Secretary of Defense","http://thedailyshow.cc.com/guests/leon-panetta"
58,"Wyatt Cenac","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20006/ds_20006_03.jpg","Comedian, Former Daily Show Correspondent","http://thedailyshow.cc.com/guests/wyatt-cenac-guest"
59,"Atul Gawande","http://2.images.comedycentral.com/images/shows/tds/videos/season_20/20005/ds_20005_03.jpg","Author, Surgeon","http://thedailyshow.cc.com/guests/atul-gawande"
60,"Ben Steele","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/20004/ds_20004_03.jpg","Documentarian","http://thedailyshow.cc.com/guests/ben-steele"
61,"Lena Dunham","http://3.images.comedycentral.com/images/shows/tds/videos/season_20/20003/ds_20003_04.jpg","Actor, Writer, Director","http://thedailyshow.cc.com/guests/lena-dunham"
62,"Ben Affleck","http://4.images.comedycentral.com/images/shows/tds/videos/season_20/20002/ds_20002_03.jpg","Actor, Director","http://thedailyshow.cc.com/guests/ben-affleck"
63,"Hadi al-Bahra","http://1.images.comedycentral.com/images/shows/tds/videos/season_20/200001/ds_20001_03.jpg","President, Syrian National Coalition","http://thedailyshow.cc.com/guests/hadi-albahra"
64,"Steven Johnson","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19159/ds_19159_03.jpg","Author","http://thedailyshow.cc.com/guests/steven-johnson"
65,"Tia Torres","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19158/ds_19158_04.jpg","Animal Rights Advocate","http://thedailyshow.cc.com/guests/tia-torres"
66,"Tony Zinni","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19157/ds_19157_exclusive1.jpg","Former Commander in Chief of the U.S. Central Command","http://thedailyshow.cc.com/guests/tony-zinni"
67,"Jenny Nordberg","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19156/ds_19156_03.jpg","Author","http://thedailyshow.cc.com/guests/jenny-nordberg"
68,"Bill Clinton","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19155/ds_19155_03.jpg","Former President of the United States","http://thedailyshow.cc.com/guests/bill-clinton"
69,"Zephyr Teachout","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19154/ds_19154_03.jpg","Law Professor, Author","http://thedailyshow.cc.com/guests/zephyr-teachout"
70,"Bill Hader","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19153/ds_19153_03.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/bill-hader"
71,"Ken Burns","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19152/ds_19152_03.jpg","Filmmaker","http://thedailyshow.cc.com/guests/ken-burns"
72,"Tavis Smiley","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19151/ds_19151_03.jpg","Journalist","http://thedailyshow.cc.com/guests/tavis-smiley"
73,"Ban Ki-moon","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19150/ds_19150_03.jpg","Secretary-General of the U.N.","http://thedailyshow.cc.com/guests/ban-ki-moon"
74,"Kirsten Gillibrand","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19149/ds_19149_02.jpg","Senator (D-NY)","http://thedailyshow.cc.com/guests/kirsten-gillibrand"
75,"Adam Levine","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19148/ds_19148_03.jpg","Musician","http://thedailyshow.cc.com/guests/adam-levine"
76,"Rory Kennedy","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19147/ds_19147_04.jpg","Filmmaker","http://thedailyshow.cc.com/guests/rory-kennedy"
77,"Ramita Navai","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19146/ds_19146_04.jpg","Author","http://thedailyshow.cc.com/guests/ramita-navai"
78,"Todd Glass","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19145/ds_19145_03.jpg","Comedian, Author","http://thedailyshow.cc.com/guests/todd-glass"
79,"Hassan Abbas","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19144/ds_19144_03.jpg","Author","http://thedailyshow.cc.com/guests/hassan-abbas"
80,"David Rose","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19143/ds_19143_04.jpg","Author, Scientist","http://thedailyshow.cc.com/guests/david-rose"
81,"Tracy Droz Tragos","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19142/ds_19142_03.jpg","Director","http://thedailyshow.cc.com/guests/tracy-droz-tragos"
82,"Wu-Tang Clan","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19140/19141/ds_19141_02.jpg","Band","http://thedailyshow.cc.com/guests/wutang-clan"
83,"Helen Thorpe","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19140/ds_19140_04.jpg","Author, Journalist","http://thedailyshow.cc.com/guests/helen-thorpe"
84,"Elisabeth Moss","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19139/ds_19139_03.jpg","Actor","http://thedailyshow.cc.com/guests/elisabeth-moss"
85,"Aubrey Plaza","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19138/ds_19138_04.jpg","Actor","http://thedailyshow.cc.com/guests/aubrey-plaza"
86,"Maggie Gyllenhaal","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19137/ds_19137_03.jpg","Actor","http://thedailyshow.cc.com/guests/maggie-gyllenhaal"
87,"Sara Firth","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19136/ds_19136_03.jpg","Former correspondent for RT","http://thedailyshow.cc.com/guests/sara-firth"
88,"Sonia Nazario","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19135/ds_19135_04.jpg","Author, Journalist","http://thedailyshow.cc.com/guests/sonia-nazario"
89,"Fareed Zakaria","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19134/ds_19134_04.jpg","Journalist","http://thedailyshow.cc.com/guests/fareed-zakaria"
90,"George Takei","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19133/ds_19133_03.jpg","Actor, Activist","http://thedailyshow.cc.com/guests/george-takei"
91,"Richard Linklater","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19132/ds_19132_04.jpg","Director","http://thedailyshow.cc.com/guests/richard-linklater"
92,"Sue Turton","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19131/ds_19131_04.jpg","Al Jazeera Correspondent","http://thedailyshow.cc.com/guests/sue-turton"
93,"Emma Stone","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19130/ds_19130_04.jpg","Actor","http://thedailyshow.cc.com/guests/emma-stone"
94,"Jerry Seinfeld","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19129/ds_19129_03.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/jerry-seinfeld"
95,"Hillary Clinton","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19128/ds_19128_02.jpg","Former Secretary of State","http://thedailyshow.cc.com/guests/tds-guest-hillary-clinton"
96,"Dahlia Lithwick","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19127/ds_19127_03.jpg","Journalist","http://thedailyshow.cc.com/guests/dahlia-lithwick"
97,"Melissa McCarthy","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19126/ds_19126_03.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/melissa-mccarthy"
98,"Keira Knightley","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19125/ds_19125_04.jpg","Actor","http://thedailyshow.cc.com/guests/keira-knightley"
99,"Jennifer Esposito","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19124/ds_19124_03.jpg","Author, Actor","http://thedailyshow.cc.com/guests/jennifer_esposito"
100,"Bill Maher","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19123/ds_19123_04.jpg","Host, "Real Time with Bill Maher"","http://thedailyshow.cc.com/guests/bill_maher"
101,"Hamid Al-Bayati","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19122/ds_19122_04.jpg","Former Permanent Representative of Iraq to the United Nations","http://thedailyshow.cc.com/guests/hamid_al-bayati"
102,"Kevin Hart","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19121/ds_19121_03.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/kevin_hart"
103,"Daniel Schulman","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19120/ds_19120_03.jpg","Journalist, Author","http://thedailyshow.cc.com/guests/daniel_schulman"
104,"Howard Schultz","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19119/ds_19119_03.jpg","Chairman, President & CEO, Starbucks","http://thedailyshow.cc.com/guests/howard_schultz"
105,"Christopher Walken","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19118/ds_19118_04.jpg","Actor","http://thedailyshow.cc.com/guests/christopher-walken"
106,"Charles Schumer","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19117/ds_19117_04.jpg","Senator (D-NY)","http://thedailyshow.cc.com/guests/charles-schumer"
107,"Sebastian Junger","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19116/ds_19116_03.jpg","Author, Filmmaker, Journalist","http://thedailyshow.cc.com/guests/sebastian-junger"
108,"Philip K. Howard","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19115/ds_19115_04.jpg","Lawyer, Author","http://thedailyshow.cc.com/guests/philip-k-howard"
109,"Tom Cruise","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19114/ds_19114_04.jpg","Actor","http://thedailyshow.cc.com/guests/tom-cruise"
110,"Gigi Ibrahim","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19113/ds_19113_04.jpg","Journalist and Activist","http://thedailyshow.cc.com/guests/gigi-ibrahim"
111,"Ricky Gervais","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19112/ds_19112_04.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/ricky-gervais"
112,"Robert De Niro","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19111/ds_19111_04.jpg","Actor","http://thedailyshow.cc.com/guests/robert-deniro"
113,"Drew Barrymore","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19110/ds_19110_04.jpg","Actor","http://thedailyshow.cc.com/guests/drew-barrymore"
114,"Timothy Geithner","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19109/ds_19109_03.jpg","Former Secretary of the Treasury","http://thedailyshow.cc.com/guests/timothy-geithner"
115,"Aneesh Chopra","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19108/ds_19108_04.jpg","Author, Former Chief Technology Officer","http://thedailyshow.cc.com/guests/aneesh-chopra"
116,"James McAvoy","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19107/ds_19107_04.jpg","Actor","http://thedailyshow.cc.com/guests/james-mcavoy"
117,"Jim Parsons","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19106/ds_19106_04.jpg","Actor","http://thedailyshow.cc.com/guests/jim-parsons"
118,"Blondie","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19105/ds_19105_04.jpg","Band","http://thedailyshow.cc.com/guests/blondie"
119,"Ron Suskind","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19104/ds_19104_04.jpg","Author, Journalist","http://thedailyshow.cc.com/guests/ron-suskind"
120,"Martin Blaser","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19103/ds_19103_04.jpg","Author, Doctor","http://thedailyshow.cc.com/guests/martin-blaser"
121,"Katie Couric","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19102/ds_19102_04.jpg","Anchor","http://thedailyshow.cc.com/guests/katie-couric"
122,"Seth Rogen","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19101/ds_19101_04.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/seth-rogen"
123,"Peter Schuck","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19100/ds_19100_04.jpg","Author","http://thedailyshow.cc.com/guests/peter-schuck"
124,"Mariano Rivera","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19099/ds_19099_04.jpg","Athlete, Author","http://thedailyshow.cc.com/guests/mariano-rivera"
125,"David Spade","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19098/ds_19098_04.jpg","Actor, Comedian","http://thedailyshow.cc.com/guests/david-spade"
126,"Martin Gilens & Benjamin Page","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19097/ds_19097_04.jpg","Political Scientists, Professors","http://thedailyshow.cc.com/guests/gilens-page"
